"Date Posted","Document ID",Author,"Document Title",Categories,"File URL","Last Modified"
11/26/2025,552301,Lee-Ann.Arner,"Falls with Major Injury Respesification: Technical Specification Report","Financial, SNF Quality Reporting Program, Measure Specifications",https://env-thecompliancestoresecure-tcsignitedev.kinsta.cloud/wp-content/uploads/documents/2025/11/SNF-QRP-FMI-Technical-Specification-Rreport.pdf,"November 26, 2025 @ 2:25 pm by Lee-Ann.Arner"
11/26/2025,552205,Michele.mummert,"Recall Alert: Baxter Permanently Removes Life2000 Ventilation System","Regulatory Agencies, FDA, Recalls and Notices",https://env-thecompliancestoresecure-tcsignitedev.kinsta.cloud/wp-content/uploads/documents/2025/11/Baxter-Recall-Alert.pdf,"November 26, 2025 @ 10:56 am by Lee-Ann.Arner"
11/26/2025,22673,Mstypinski,"Medicare Parts A &amp; B Appeals Process Booklet","Regulatory Agencies, CMS, Medicare, Medicare Learning Network",https://env-thecompliancestoresecure-tcsignitedev.kinsta.cloud/wp-content/uploads/documents/2025/11/CMS-MLN-Medicare-Appeals-Process-Sept-2025.pdf,"November 26, 2025 @ 2:49 pm by Lee-Ann.Arner"
11/26/2025,38291,Mpurkaya,"Pouch Changes &#8211; Colostomy, Urostomy, and Ileostomy Policy","Tools and Templates, Policies and Procedures, Nursing, Clinical",https://env-thecompliancestoresecure-tcsignitedev.kinsta.cloud/wp-content/uploads/documents/2025/11/Pouch-Changes-Colostomy-Urostomy-and-Ileostomy-Policy.docx,"November 26, 2025 @ 12:36 pm by polly.smith"
11/26/2025,38310,Mpurkaya,"Tracheostomy Care &#8211; Suctioning Policy","Tools and Templates, Policies and Procedures, Nursing, Clinical",https://env-thecompliancestoresecure-tcsignitedev.kinsta.cloud/wp-content/uploads/documents/2025/11/Tracheostomy-Care-Suctioning-Policy.docx,"November 26, 2025 @ 1:01 pm by polly.smith"
11/26/2025,471486,Polly.smith,"Opioid Overdose Management Policy","Tools and Templates, Policies and Procedures, Nursing, Clinical",https://env-thecompliancestoresecure-tcsignitedev.kinsta.cloud/wp-content/uploads/documents/2025/11/Opioid-Overdose-Management-Policy.docx,"November 26, 2025 @ 12:26 pm by polly.smith"
11/26/2025,526030,Michele.mummert,"Pigtail Catheters for Chest Tube Drainage Care and Maintenance Policy","Tools and Templates, Policies and Procedures, Nursing, Clinical",https://env-thecompliancestoresecure-tcsignitedev.kinsta.cloud/wp-content/uploads/documents/2025/11/Pigtail-Catheters-for-Chest-Tube-Drainage-Care-and-Maintenance-Policy.docx,"November 26, 2025 @ 12:31 pm by polly.smith"
11/26/2025,509489,Polly.smith,"Mechanical Ventilation Policy","Tools and Templates, Policies and Procedures, Nursing, Clinical",https://env-thecompliancestoresecure-tcsignitedev.kinsta.cloud/wp-content/uploads/documents/2025/11/Mechanical-Ventilation-Policy.docx,"November 26, 2025 @ 12:18 pm by polly.smith"
11/26/2025,38277,Mpurkaya,"Low Profile Gastrostomy Tube Policy","Tools and Templates, Policies and Procedures, Nursing, Clinical",https://env-thecompliancestoresecure-tcsignitedev.kinsta.cloud/wp-content/uploads/documents/2025/11/Low-Profile-Gastrostomy-Tube-Policy.docx,"November 26, 2025 @ 12:16 pm by polly.smith"
11/26/2025,38294,Mpurkaya,"Nail Care Policy","Tools and Templates, Policies and Procedures, Nursing, Clinical, Nursing Processes",https://env-thecompliancestoresecure-tcsignitedev.kinsta.cloud/wp-content/uploads/documents/2025/11/Nail-Care-Policy.docx,"November 26, 2025 @ 12:22 pm by polly.smith"
11/26/2025,38280,Mpurkaya,"Ostomy Care &#8211; Colostomy, Urostomy, and Ileostomy Policy","Tools and Templates, Policies and Procedures, Nursing, Clinical",https://env-thecompliancestoresecure-tcsignitedev.kinsta.cloud/wp-content/uploads/documents/2025/11/Ostomy-Care-Colostomy-Urostomy-and-Ileostomy-Policy.docx,"November 26, 2025 @ 12:26 pm by polly.smith"
11/26/2025,451132,Polly.smith,"Nephrostomy and Cystostomy Tube Care and Maintenance Policy","Tools and Templates, Policies and Procedures, Nursing, Clinical",https://env-thecompliancestoresecure-tcsignitedev.kinsta.cloud/wp-content/uploads/documents/2025/11/Nephrostomy-and-Cystostomy-Tube-Care-and-Maintenance-Policy.docx,"November 26, 2025 @ 12:22 pm by polly.smith"
11/26/2025,38552,Mpurkaya,"Intravenous Therapy Policy","Tools and Templates, Policies and Procedures, Nursing, Clinical",https://env-thecompliancestoresecure-tcsignitedev.kinsta.cloud/wp-content/uploads/documents/2025/11/Intravenous-Therapy-Policy.docx,"November 26, 2025 @ 12:10 pm by polly.smith"
11/26/2025,523743,Michele.mummert,"Intrathecal Pump Care and Management Policy","Tools and Templates, Policies and Procedures, Nursing, Clinical",https://env-thecompliancestoresecure-tcsignitedev.kinsta.cloud/wp-content/uploads/documents/2025/11/Intrathecal-Pump-Care-and-Management-Policy.docx,"November 26, 2025 @ 12:10 pm by polly.smith"
11/26/2025,503763,Polly.smith,"Nasogastric Tubes for Enteral Feedings Policy","Tools and Templates, Policies and Procedures, Nursing, Clinical",https://env-thecompliancestoresecure-tcsignitedev.kinsta.cloud/wp-content/uploads/documents/2025/11/Nasogastic-Tubes-for-Enteral-Feedings-Policy.docx,"November 26, 2025 @ 12:22 pm by polly.smith"
11/26/2025,494892,Polly.smith,"Use of Warming or Cooling Blanket Policy","Tools and Templates, Policies and Procedures, Nursing, Clinical",https://env-thecompliancestoresecure-tcsignitedev.kinsta.cloud/wp-content/uploads/documents/2025/11/Use-of-Warming-or-Cooling-Blanket-Policy.docx,"November 26, 2025 @ 1:03 pm by polly.smith"
11/26/2025,38298,Mpurkaya,"Special Needs Policy","Tools and Templates, Policies and Procedures, Nursing, Clinical",https://env-thecompliancestoresecure-tcsignitedev.kinsta.cloud/wp-content/uploads/documents/2025/11/Special-Needs-Policy.docx,"November 26, 2025 @ 12:55 pm by polly.smith"
11/26/2025,38307,Mpurkaya,"Suture Removal Policy","Tools and Templates, Policies and Procedures, Nursing, Clinical",https://env-thecompliancestoresecure-tcsignitedev.kinsta.cloud/wp-content/uploads/documents/2025/11/Suture-Removal-Policy.docx,"November 26, 2025 @ 12:59 pm by polly.smith"
11/26/2025,38272,Mpurkaya,"Life Vest (Wearable Defibrillator) Policy","Tools and Templates, Policies and Procedures, Nursing, Clinical",https://env-thecompliancestoresecure-tcsignitedev.kinsta.cloud/wp-content/uploads/documents/2025/11/Life-Vest-Wearable-Defibrillator-Policy.docx,"November 26, 2025 @ 12:15 pm by polly.smith"
11/26/2025,38288,Mpurkaya,"Perineal Care Policy","Tools and Templates, Policies and Procedures, Nursing, Clinical",https://env-thecompliancestoresecure-tcsignitedev.kinsta.cloud/wp-content/uploads/documents/2025/11/Perineal-Care-Policy.docx,"November 26, 2025 @ 12:28 pm by polly.smith"
11/26/2025,459232,Polly.smith,"Midline Catheter Flushing, Locking, Removal Policy","Tools and Templates, Policies and Procedures, Nursing, Clinical",https://env-thecompliancestoresecure-tcsignitedev.kinsta.cloud/wp-content/uploads/documents/2025/11/Midline-Catheter-Flushing-Locking-Removal-Policy.docx,"November 26, 2025 @ 12:18 pm by polly.smith"
